1,1'-biphenyl -4,4'-diamine, 3,3'-dimethoxy-/emissions to air/low. pop./kg;c661b70f-5448-4a09-9530-acf6baba9759;1.0;1,1'-Biphenyl -4,4'-diamine, 3,3'-dimethoxy-;Emissions to air/low. pop.;;1,1'-Biphenyl -4,4'-diamine, 3,3'-dimethoxy-;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,1'-biphenyl -4,4'-diamine, 3,3'-dimethyl-/emissions to air/high. pop./kg;c3e1a770-9aa2-434c-82b3-83ebbead8318;1.0;1,1'-Biphenyl -4,4'-diamine, 3,3'-dimethyl-;Emissions to air/high. pop.;;3,3'-dimethylbenzidine;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,1'-biphenyl -4,4'-diamine, 3,3'-dimethyl-/emissions to air/low. pop./kg;236904e3-d5de-4061-b0dd-098712e4a8d5;1.0;1,1'-Biphenyl -4,4'-diamine, 3,3'-dimethyl-;Emissions to air/low. pop.;;3,3'-dimethylbenzidine;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,2,3,4,7,8,9 heptachlorodibenzofuran/emissions to air/unspecified/kg;a76f8097-6dae-4f6a-a39c-73303d945cae;1.0;1,2,3,4,7,8,9 Heptachlorodibenzofuran;Emissions to air/Unspecified;;1,2,3,4,7,8,9 Heptachlorodibenzofuran;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,2,3,6,7,8-hexachlorodibenzo-p-dioxin/emissions to air/unspecified/kg;0e3612a5-864c-4dde-aa58-a192174e274e;1.0;1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin;Emissions to air/Unspecified;;1,2,3,6,7,8-HEXACHLORODIBENZO-P-DIOXIN;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,2,3,7,8-pentachlorodibenzo-p-dioxin/emissions to air/unspecified/kg;76398968-94da-44a1-8f80-b494bec9eed2;1.0;1,2,3,7,8-Pentachlorodibenzo-p-dioxin;Emissions to air/Unspecified;;1,2,3,7,8-PENTACHLORODIBENZO-P-DIOXIN;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,3-diisocyanato-2-methylbenzene/emissions to air/high. pop./kg;44b1de96-190b-4ddb-a883-e77e6eaa262e;1.0;1,3-Diisocyanato-2-methylbenzene;Emissions to air/high. pop.;;1,3-Diisocyanato-2-methylbenzene;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,3-diisocyanato-2-methylbenzene/emissions to air/low. pop./kg;833a939d-5854-44c4-9bad-5d8762e64368;1.0;1,3-Diisocyanato-2-methylbenzene;Emissions to air/low. pop.;;1,3-Diisocyanato-2-methylbenzene;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,3-diisocyanato-2-methylbenzene/emissions to air/unspecified/kg;5083efca-bb43-436b-87c4-67fd5ed8c896;1.0;1,3-Diisocyanato-2-methylbenzene;Emissions to air/Unspecified;;1,3-Diisocyanato-2-methylbenzene;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,4-benzenediamine, 2-methyl-/emissions to air/unspecified/kg;969b2123-2b4e-4b60-8730-62b3899cf80a;1.0;1,4-Benzenediamine, 2-methyl-;Emissions to air/Unspecified;;1,4-Benzenediamine, 2-methyl-;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,4-benzenediamine, 2-methyl-/emissions to soil/industrial/kg;de729733-ca76-43fe-b6c8-f9885dda3fa3;1.0;1,4-Benzenediamine, 2-methyl-;Emissions to soil/industrial;;1,4-Benzenediamine, 2-methyl-;Elementary flows/Emission to soil/industrial;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,4-benzenediamine, 2-methyl-/emissions to water/unspecified/kg;e5f0bf7d-00ef-4108-b193-1cf738c4f1cc;1.0;1,4-Benzenediamine, 2-methyl-;Emissions to water/Unspecified;;1,4-Benzenediamine, 2-methyl-;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,4-butanediol/emissions to air/high. pop./kg;38a622c6-f086-4763-a952-7c6b3b1c42ba;1.0;1,4-Butanediol;Emissions to air/high. pop.;;1,4-Butanediol;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,4-butanediol/emissions to water/river/kg;d6911d36-3fec-41fe-8ef9-540f6543a240;1.0;1,4-Butanediol;Emissions to water/river;;1,4-Butanediol;Elementary flows/Emission to water/surface water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,4-dioxane/emissions to air/high. pop./kg;fe24a5d7-47f2-4788-8370-e652359f5163;1.0;1,4-Dioxane;Emissions to air/high. pop.;;1,4-DIOXANE;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,4-dioxane/emissions to air/low. pop./kg;2bf6be8b-c3d4-46fc-b044-7f9e600732b6;1.0;1,4-Dioxane;Emissions to air/low. pop.;;1,4-DIOXANE;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,4-dioxane/emissions to air/unspecified/kg;2ea87f8e-4a8c-478c-b6e1-45c7bd5eaf24;1.0;1,4-Dioxane;Emissions to air/Unspecified;;1,4-DIOXANE;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,4-dioxane/emissions to soil/industrial/kg;6c35d814-cab3-4610-a8d9-b214f5790613;1.0;1,4-Dioxane;Emissions to soil/industrial;;1,4-DIOXANE;Elementary flows/Emission to soil/industrial;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,4-dioxane/emissions to soil/unspecified/kg;d67dbeee-1359-49de-a686-c720ba661c97;1.0;1,4-Dioxane;Emissions to soil/Unspecified;;1,4-DIOXANE;Elementary flows/Emission to soil/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1,4-dioxane/emissions to water/unspecified/kg;58fbc273-95e6-47d3-bf47-51739851b608;1.0;1,4-Dioxane;Emissions to water/Unspecified;;1,4-DIOXANE;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride/emissions to air/low. pop./kg;744caf45-e126-4d78-b1b4-b226203ee8d3;1.0;1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride;Emissions to air/low. pop.;;1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride/emissions to air/unspecified/kg;08abcbee-87b3-4cdd-8fa8-bb70e0ee9a66;1.0;1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride;Emissions to air/Unspecified;;1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride/emissions to soil/industrial/kg;1b2230d5-c18b-439a-9009-8971b07460f0;1.0;1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride;Emissions to soil/industrial;;1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride;Elementary flows/Emission to soil/industrial;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride/emissions to soil/unspecified/kg;5c20dd22-9948-4ead-ab9a-d1d040b18ec2;1.0;1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride;Emissions to soil/Unspecified;;1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride;Elementary flows/Emission to soil/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride/emissions to water/unspecified/kg;64bb37de-a36d-43c8-a327-c3b824bb7f39;1.0;1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride;Emissions to water/Unspecified;;1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-aminopropane-1,3-dicarboxylic acid/emissions to air/unspecified/kg;6a081c0d-dc2a-4b79-b3a7-09a2466e4f4c;1.0;1-Aminopropane-1,3-dicarboxylic acid;Emissions to air/Unspecified;;1-Aminopropane-1,3-dicarboxylic acid;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-aminopropane-1,3-dicarboxylic acid/emissions to soil/agricultural/kg;c127d321-3878-4c17-b4f2-b9452929fedc;1.0;1-Aminopropane-1,3-dicarboxylic acid;Emissions to soil/agricultural;;1-Aminopropane-1,3-dicarboxylic acid;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-aminopropane-1,3-dicarboxylic acid/emissions to water/unspecified/kg;2e514bbc-7dcf-4df1-a5ec-a44db33f6da0;1.0;1-Aminopropane-1,3-dicarboxylic acid;Emissions to water/Unspecified;;1-Aminopropane-1,3-dicarboxylic acid;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-butanol/emissions to air/high. pop./kg;efc4290c-1404-4e01-8b5e-e75c6d90615c;1.0;1-Butanol;Emissions to air/high. pop.;;Butanol;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-butanol/emissions to air/low. pop./kg;cb299863-b63a-45ae-a3fc-b5cc900aaeea;1.0;1-Butanol;Emissions to air/low. pop.;;Butanol;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-butanol/emissions to air/unspecified/kg;b9a9b2ad-5db3-47aa-81de-3a48ae9ad4ec;1.0;1-Butanol;Emissions to air/Unspecified;;Butanol;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-butanol/emissions to soil/industrial/kg;3967fba5-15b7-41d9-8c78-a5bfce0bd927;1.0;1-Butanol;Emissions to soil/industrial;;Butanol;Elementary flows/Emission to soil/industrial;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-butanol/emissions to soil/unspecified/kg;d88a8411-295e-453a-82fc-6db6c906b3ec;1.0;1-Butanol;Emissions to soil/Unspecified;;Butanol;Elementary flows/Emission to soil/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-butanol/emissions to water/river/kg;f6e3ce3b-ce57-4313-ac88-59a8361925cf;1.0;1-Butanol;Emissions to water/river;;Butanol;Elementary flows/Emission to water/surface water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-butanol/emissions to water/unspecified/kg;b50d8d03-7e88-4b29-9d10-67bbe01bdbc6;1.0;1-Butanol;Emissions to water/Unspecified;;Butanol;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-methyl-2-pyrrolidinone/emissions to air/high. pop./kg;1049cdbc-1855-46ab-8219-11b65f0493f8;1.0;1-Methyl-2-pyrrolidinone;Emissions to air/high. pop.;;1-Methyl-2-pyrrolidinone;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-methyl-2-pyrrolidinone/emissions to air/low. pop./kg;583c27a3-273b-4459-b5a6-470c0e038e8b;1.0;1-Methyl-2-pyrrolidinone;Emissions to air/low. pop.;;1-Methyl-2-pyrrolidinone;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-methyl-2-pyrrolidinone/emissions to air/unspecified/kg;00b8c5b8-8f45-445f-839c-2017fe3ad8b8;1.0;1-Methyl-2-pyrrolidinone;Emissions to air/Unspecified;;1-Methyl-2-pyrrolidinone;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-methyl-2-pyrrolidinone/emissions to soil/industrial/kg;c6485e22-6df0-43d9-8a6c-204f27d07d42;1.0;1-Methyl-2-pyrrolidinone;Emissions to soil/industrial;;1-Methyl-2-pyrrolidinone;Elementary flows/Emission to soil/industrial;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-methyl-2-pyrrolidinone/emissions to soil/unspecified/kg;8ce763d3-4513-4005-b0af-f5ac4694e1cd;1.0;1-Methyl-2-pyrrolidinone;Emissions to soil/Unspecified;;1-Methyl-2-pyrrolidinone;Elementary flows/Emission to soil/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-methyl-2-pyrrolidinone/emissions to water/unspecified/kg;9ff6b6db-6b22-485a-a0f3-545aa6d19d49;1.0;1-Methyl-2-pyrrolidinone;Emissions to water/Unspecified;;1-Methyl-2-pyrrolidinone;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-methylpyrene/emissions to air/unspecified/kg;333341a9-efab-4c0a-a41e-748cd549e820;1.0;1-Methylpyrene;Emissions to air/Unspecified;;1-Methylpyrene;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-naphthalene acetamide/emissions to air/unspecified/kg;01a720ec-3d95-4300-bb42-b2b161818539;1.0;1-Naphthalene acetamide;Emissions to air/Unspecified;;1-Naphthalene acetamide;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-naphthalene acetamide/emissions to soil/agricultural/kg;c1b6895b-34b3-4517-8b0b-f1bfc222aaba;1.0;1-Naphthalene acetamide;Emissions to soil/agricultural;;1-Naphthalene acetamide;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-naphthalene acetamide/emissions to water/unspecified/kg;275ae514-ff00-4ef6-ba57-ee346f187ef1;1.0;1-Naphthalene acetamide;Emissions to water/Unspecified;;1-Naphthalene acetamide;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-naphthaleneacetic acid/emissions to air/unspecified/kg;58751bee-d664-4ac1-9b75-8fb69876ad8e;1.0;1-Naphthaleneacetic acid;Emissions to air/Unspecified;;1-Naphthaleneacetic acid;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-naphthaleneacetic acid/emissions to soil/agricultural/kg;eb211612-f1f9-46fb-b84c-a76d495b8ea5;1.0;1-Naphthaleneacetic acid;Emissions to soil/agricultural;;1-Naphthaleneacetic acid;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-naphthaleneacetic acid/emissions to water/unspecified/kg;be7d1ce7-f949-4873-a90f-afb76a82bb8b;1.0;1-Naphthaleneacetic acid;Emissions to water/Unspecified;;1-Naphthaleneacetic acid;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-pentanol/emissions to air/high. pop./kg;541a823c-0aad-4dc4-9123-d4af4647d942;1.0;1-Pentanol;Emissions to air/high. pop.;;1-Pentanol;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-pentanol/emissions to water/river/kg;e4526360-b2a1-4e77-9f00-57dbfe228bde;1.0;1-Pentanol;Emissions to water/river;;1-Pentanol;Elementary flows/Emission to water/surface water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-pentene/emissions to air/high. pop./kg;8cbaa905-41b0-4327-8403-bf1c8eb25429;1.0;1-Pentene;Emissions to air/high. pop.;;1-Pentene;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-pentene/emissions to water/river/kg;f3cf9958-739f-41c1-a679-f550cf0e9b6c;1.0;1-Pentene;Emissions to water/river;;1-Pentene;Elementary flows/Emission to water/surface water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-propanol/emissions to air/high. pop./kg;4a6af581-af93-4d79-9f45-a5c43f463bbb;1.0;1-Propanol;Emissions to air/high. pop.;;Propanol;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1-propanol/emissions to water/river/kg;3277a622-8234-4c73-ba22-526cf9a0fccc;1.0;1-Propanol;Emissions to water/river;;Propanol;Elementary flows/Emission to water/surface water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
